"rawname","name","rawaffiliation","affiliation","stance"
"Ulrike Schneider","ulrike schneider","TU Vienna","tu wien","AMS Letter B"
"Jennifer Schultens","jennifer schultens","UC-Davis","university of california davis","AMS Letter B"
"Peter Schumer","peter schumer","Middlebury College","middlebury college","AMS Letter B"
"Richard Schwartz","richard e schwartz","Chancellor's Professor of Mathematics, Brown University","brown university","AMS Letter B"
"Albert Schwarz","albert schwarz","UC Davis, emeritus, AMS Fellow","university of california davis","AMS Letter B"
"Peter Scott","peter scott","University of Michigan","university of michigan","AMS Letter B"
"Zlil Sela","zlil sela","Hebrew University","hebrew university of jerusalem","AMS Letter B"
"Marjorie Senechal","marjorie senechal","Smith College","smith college","AMS Letter B"
"Ambar Sengupta","ambar sengupta","University of Connecticut","university of connecticut","AMS Letter B"
"Illya Serdyuk","illya serdyuk",NA,NA,"AMS Letter B"
"Vera Serganova","vera serganova","UC Berkeley","university of california berkeley","AMS Letter B"
"Brigitte Servatius","brigitte servatius","WPI","worcester polytechnic institute","AMS Letter B"
"Cheri Shakiban","cheri shakiban","University of St. Thomas","university of saint thomas","AMS Letter B"
"Xuancheng Shao","xuancheng shao","University of Kentucky","university of kentucky","AMS Letter B"
"Uri Shapira","uri shapira",NA,NA,"AMS Letter B"
"Daniel Shapiro","daniel shapiro","Ohio State University","ohio state university","AMS Letter B"
"Dmitry Shemetov","dmitry shemetov","UCDavis Graduate Student","university of california davis","AMS Letter B"
"Zhongwei Shen","zhongwei shen","University of Kentucky","university of kentucky","AMS Letter B"
"Vivek Shende","vivek shende","UC Berkeley","university of california berkeley","AMS Letter B"
"Malcolm Sherman","malcolm sherman","UAlbany, SUNY","suny albany","AMS Letter B"
"Theodore James Sherman","theodore james sherman","Professor of English, Middle Tennessee State University","middle tennessee state university","AMS Letter B"
"Mikhail Shifman","mikhail shifman","University of Minnesota","university of minnesota","AMS Letter B"
"Evgeny Shinder","evgeny shinder","University of Sheffield","university of sheffield","AMS Letter B"
"Aleksander Shmakov","aleksander shmakov","University of Georgia","university of georgia","AMS Letter B"
"Tatiana Shubin","tatiana shubin","San Jose State University","san jose state university","AMS Letter B"
"Adam Sikora","adam sikora","SUNY Buffalo","suny buffalo","AMS Letter B"
"Daniel Silver","daniel silver","University of South Alabama","university of south alabama","AMS Letter B"
"Jim Simons","james simons","Simons Foundation","simons foundation","AMS Letter B"
"Howard Skogman","howard skogman","SUNY Brockport","suny brockport","AMS Letter B"
"Theodore Slaman","theodore slaman","University of California Berkeley","university of california berkeley","AMS Letter B"
"Nat Smale","nat smale","Math Department, University of Utah","university of utah","AMS Letter B"
"Stephen Smale","stephen smale","math (emeritus) Univ of Calif. Berkeley","univ of california berkeley","AMS Letter B"
"Roxana Smarandache","roxana smarandache",NA,NA,"AMS Letter B"
"David C. Smith","david c smith","Williams College","williams college","AMS Letter B"
"Michael Smith","michael smith","UC Berkeley","university of california berkeley","AMS Letter B"
"Bert Frank Smits","bert frank smits",NA,NA,"AMS Letter B"
"Matthew Snyder","matthew snyder",NA,NA,"AMS Letter B"
"Sergey I Sobolev","sergey i sobolev","retired",NA,"AMS Letter B"
"Mikhail Sodin","mikhail sodin","Tel Aviv University","tel aviv university","AMS Letter B"
"Houshang H. Sohrab","houshang h sohrab","Towson University","towson university","AMS Letter B"
"Sara A. Solla","sara a solla","Northwestern University","northwestern university","AMS Letter B"
"Jake Solomon","jake solomon","Hebrew University","hebrew university of jerusalem","AMS Letter B"
"Ronald Solomon","ronald solomon","Professor Emeritus, Ohio State University","ohio state university","AMS Letter B"
"Jack Sonn","jack sonn","Professor Emeritus, Technion-Israel Institute of Technology","technion israel institute of technology","AMS Letter B"
"Jenya Soprunova","jenya soprunova","Kent State University","kent state university","AMS Letter B"
"Alexander Soshnikov","alexander soshnikov","UC Davis Mathematics Department","university of california davis","AMS Letter B"
"Kannan Soundararajan","kannan soundararajan","Stanford University","stanford university","AMS Letter B"
"Steven Sperber","steven sperber","University of Minnesota, School of Mathematics","university of minnesota","AMS Letter B"
"Andrew Staats","andrew staats",NA,NA,"AMS Letter B"
"Gigliola Staffilano","gigliola staffilani","MIT","massachusetts institute of technology","AMS Letter B"
"Joseph Stahl","joseph stahl","UC Berkeley","university of california berkeley","AMS Letter B"
"Alina Stancu","alina stancu","Concordia University","concordia university canada","AMS Letter B"
"Michael Stay","michael stay","CTO, Pyrofex Corp.","pyrofex corp.","AMS Letter B"
"Joseph Steinberg","joseph steinberg","University of Toronto","university of toronto","AMS Letter B"
"Ronald J. Stern","ronald stern","Prof and Dean Emeritus UC Irvine","university of california irvine","AMS Letter B"
"Thomas Strohmer","thomas strohmer","University of California, Davis","university of california davis","AMS Letter B"
"Walter Stromquist","walter stromquist","Bryn Mawr College","bryn mawr college","AMS Letter B"
"Professor Jeffrey Stuart","professor jeffrey stuart","Pacific Lutheran University","pacific lutheran university","AMS Letter B"
"Benny Sudakov","benny sudakov","Professor, ETH Zurich","eth zurich","AMS Letter B"
"John Sullivan","john sullivan","AMS Fellow, TU Berlin","tu berlin","AMS Letter B"
"Mikael Sundqvist","mikael sundqvist","Lund University, Sweden","lund university","AMS Letter B"
"Frank Swenton","frank swenton","Middlebury College","middlebury college","AMS Letter B"
"Sergei Tabachnikov","sergei tabachnikov","Penn State","pennsylvania state university","AMS Letter B"
"Thibaud Taillefumier","thibaud taillefumier","UT Austin","university of texas austin","AMS Letter B"
"Ramin Takloo-Bighash","ramin takloo bighash","University of Illinois at Chicago","university of illinois chicago","AMS Letter B"
"David Talcott","david talcott","The King's College (NY)","king's college","AMS Letter B"
"Julie Tannenbaum","julie tannenbaum","Pomona College","pomona college","AMS Letter B"
"Terence Tao","terence tao","UCLA","university of california los angeles","AMS Letter B"
"Clifford Henry Taubes","clifford henry taubes","Department of Mathematics, Harvard University","harvard university","AMS Letter B"
"Laurence R. Taylor","laurence r taylor","University of Notre Dame","university of notre dame","AMS Letter B"
"Scott Taylor","scott taylor","Colby College","colby college","AMS Letter B"
"Michael Temkin","michael temkin","Chair, Department of Mathematics, Hebrew University","hebrew university of jerusalem","AMS Letter B"
"Ivo Terek","ivo terek","Ohio State University","ohio state university","AMS Letter B"
"Morwen Thistlethwaite","morwen thistlethwaite","University of Tennessee-Knoxville","university of tennessee knoxville","AMS Letter B"
"Lola Thompson","lola thompson","Max Planck Institute and Oberlin College","oberlin college","AMS Letter B"
"Frank J. Tipler","frank j tipler","Professor of Mathematics, Tulane University","tulane university","AMS Letter B"
"Antonino Travia","antonino travia","student at the University of South Florida","university of south florida","AMS Letter B"
"Lisa Traynor","lisa traynor","Bryn Mawr College","bryn mawr college","AMS Letter B"
"Nancy S True","nancy true","Professor Emerita, UC Davis","university of california davis","AMS Letter B"
"Bena Tshishiku","bena tshishiku","Brown University","brown university","AMS Letter B"
"Anastasiia Tsvietkova","anastasiia tsvietkova","Rutgers University, Newark","rutgers university newark","AMS Letter B"
"Henry Tucker","henry tucker","UC Riverside","university of california riverside","AMS Letter B"
"Alexander Tumanov","alexander tumanov","Professor, University of Illinois","university of illinois urbana champaign","AMS Letter B"
"Alexander Turbiner","alexander turbiner","AMS member and APS Fellow, National University of Mexico","universidad nacional autonoma de mexico","AMS Letter B"
"Victor Turchin","victor turchin","Kansas State University","kansas state university","AMS Letter B"
"Ilya Tyomkin","ilya tyomkin","Ben-Gurion University of the Negev","ben gurion university","AMS Letter B"
"Nikos Tzirakis","nikos tzirakis","University of Illinois at Urbana-Champaign","university of illinois urbana champaign","AMS Letter B"
"John Urschel","john urschel","MIT","massachusetts institute of technology","AMS Letter B"
"Alek Vainshtein","alek vainshtein","University of Haifa","university of haifa","AMS Letter B"
"Ravi Vakil","ravi vakil","Stanford University","stanford university","AMS Letter B"
"Lou van den Dries","lou van den dries","University of Illinois at Champaign-Urbana","university of illinois urbana champaign","AMS Letter B"
"Allan van Hulst","allan van hulst","Max Planck Institute, the Netherlands","max planck institute","AMS Letter B"
"Donald Vandegrift","donald vandegrift","The College of New Jersey","college of new jersey","AMS Letter B"
"Yakov Varshavsky","yakov varshavsky","The Hebrew University of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Monica Vazirani","monica vazirani","UC Davis","university of california davis","AMS Letter B"
"Daniel Velleman","daniel velleman","emeritus, Amherst College","amherst college","AMS Letter B"
"J. David Velleman","j david velleman","Department of Philosophy, NYU","new york university","AMS Letter B"
"Akshay Venkatesh","akshay venkatesh","Institute for Advanced Study","institute for advanced study","AMS Letter B"
"Oleg Viro","oleg viro","Stony Brook University","suny stony brook","AMS Letter B"
"Misha Vishik","misha vishik","Department of Mathematics, The University of Texas at Austin","university of texas austin","AMS Letter B"
"Angelo Vistoli","angelo vistoli","Scuola Normale Superiore, Italy","scuola normale superiore","AMS Letter B"
"David A. Vogan","david a vogan","Jr. Dept of Mathematics, MIT","massachusetts institute of technology","AMS Letter B"
"Vladislav Vysotsky","vladislav vysotsky","University of Sussex","university of sussex","AMS Letter B"
"Rebecca Wahl","rebecca wahl","Butler University","butler university","AMS Letter B"
"Bronislaw Wajnryb","bronislaw wajnryb","Rzeszow University of Technology, Poland","rzeszow university of technology poland","AMS Letter B"
"Kevin Walker","kevin walker","MSQ","msq","AMS Letter B"
"Lynne H Walling","lynne h walling","University of Bristol (Fellow of the AMS)","university of bristol","AMS Letter B"
"Yi Wang","yi wang","SUNY Buffalo","suny buffalo","AMS Letter B"
"Zhenghan Wang","zhenghan wang","Microsoft Station Q and UCSB math","university of california santa barbara","AMS Letter B"
"Rachel Ward","rachel ward","UT Austin","university of texas austin","AMS Letter B"
"Michael S. Waterman","michael waterman","University of Southern California","university of southern california","AMS Letter B"
"Paul Wedrich","paul wedrich","MPIM","max planck institute","AMS Letter B"
"Shmuel Weinberger","shmuel weinberger","University of Chicago","university of chicago","AMS Letter B"
"Steven H. Weintraub","steven h weintraub","Lehigh University","lehigh university","AMS Letter B"
"Aaron Weiss","aaron weiss","mekaz lev acadamy","mekaz lev academy","AMS Letter B"
"Benjamin Weiss","benjamin weiss","Hebrew Univ. of Jerusalem","hebrew university of jerusalem","AMS Letter B"
"Hans Wenzl","hans wenzl","UC San Diego","university of california san diego","AMS Letter B"
"Brian White","brian white","Stanford University","stanford university","AMS Letter B"
"Steven R. White","steven r white","MD, University of Chicago","university of chicago","AMS Letter B"
